Reference,Qty,Description,Part Number,Manufacturer,Digikey
U1,1,IC FPGA 68 I/O 100VQFP,XC3S50A-4VQG100C,Xilinx Inc.,122-1592-ND
"U2,U3,U4",3,IC FLASH 128MBIT SPI/QUAD 8SOIC,W25Q128JVSIQ,Winbond Electronics Corp,W25Q128JVSIQ-ND
U5,1,IC REG LINEAR 1.2V 300MA 5TSOP,NCV8164ASN120T1G,ON Semiconductor Corp,488-NCV8164ASN120T1GCT-ND
LED1,1,LED RGB CLEAR 4SMD. COMMON ANODE,19-237/R6GHBHC-A07/2T,Everlight Electronics Co Ltd,1080-1590-1-ND
J1,1,JST SM CONN HEADER SMD R/A 10POS 1MM,SM10B-SRSS-TB,JST Sales America Inc.,455-1810-1-ND
"C1,C2",2,CAP CER 0.1UF 50V 0603,CL10B104KB8NNNC,Capacitor Generic,1276-1000-1-ND
"C3,C5",2,CAP CER 1UF 25V X5R 0603,CL10A105KA8NNNC,Capacitor Generic,1276-1102-1-ND
C4,1,CAP CER 10UF 6.3V 0603,JMK107ABJ106MA-T,Capacitor Generic,587-5869-1-ND
"R1,R2,R3",3,RES 470 OHM 1% 1/10W 0603,RC0603FR-07470RL,Resistor Generic,311-470HRCT-ND
"R4,R5,R6,R7,R8",5,RES 10K OHM 5% 1/10W 0603,RMCF0603JT10K0,Resistor Generic,RMCF0603JT10K0CT-ND
RA1,1,RES ARRAY 4 RES 10K OHM 1206,EXB-38V103JV,Resistor Array Generic,Y9103CT-ND
"Q1,Q2,Q3,Q4,Q5",5,MOSFET N-CH 20V 4.1A SOT-23,IRLML6246TRPBF,Infineon Technologies,IRLML6246TRPBFCT-ND
LPC,1,Female Pin Header,PPTC072LFBN-RC,Female Pin Header Generic 2x7 0.1in,S7075-ND
